title,record_type,tool_category,tool_subcategory,url,implementation,summary,description,when_to_use,when_not_to_use,resources
MicroStrategy,Tool,DATA VISUALIZATION,Business Intelligence,http://www.microstrategy.com,Commercial,summary,"MicroStrategy is used for organizing, analyzing and visualizing (usually) big amounts of data in both ""classical"" Data Warehouse environments and Cloud Computing and mobile platforms, being ""leader"" in the area of BI Software for high and very high data volumes despite of a relatively small market share. MicroStrategy was founded in 1989 and since then has remained one of the few independent, ""pure-play"" BI vendors as opposed to many companies such as Business Objects and Cognos that have been bought by tech giants (here, SAP and IBM).","Reporting, Querying, OLAP analysis, visualization, Dashboards, advanced / predictive analytics in the context of big and very big data volumes","Small / mid-sized datasets / -volumes, as MicroStrategy is relatively complicated to learn and ""large-scale"", as well as the most expensive BI solution in the market",<a href=https://www.youtube.com/watch?v=J4dYWTGrhnA/> <a href=https://www.youtube.com/watch?v=HMeSw76oIIU/> <a href=http://www.bryanbrandow.com/ />
SAP Business Objects,Tool,DATA VISUALIZATION,Business Intelligence,https://www.sapbi.com/,Commercial,summary,"SAP BusinessObjects (a.k.a. BO or BOBJ) is a Business Intelligence Suite with components that provide performance management, planning, reporting, query and analysis, and enterprise information management. The main purpose of BO is allowing business users to view, sort and analyze business intelligence data.  The company Business Objects was founded in 1990, but later acquired in 2007 by the German Software company SAP AG. It can be run together with SAP´s ERP (Enterprise Resource Planning) Suite, but also as ""standalone"" programme that runs together with any kind of database, middleware etc.","Organization, analysis and visualization of structured data (usually based on relational database / Data Warehouse technology)","Organization, analysis and visualization of mainly unstructured data (usually stored in Hadoop / Spark / noSQL environments)","""<a href=""""http://wciconsulting.com/resources/business-objects-tutorial-videos/""""/>"
Pentaho Data Integration,Tool,DATA ENGINEERING,Business Intelligence,http://www.pentaho.com/product/data-integration,Open Source,summary,"Pentaho Data Integration (PDI, also called Kettle) is the component of the ""Pentaho Business Analytics Suite"" that is responsible for Extract, Transform and Load (ETL) processes, usually in a Data Warehousing environment. PDI can also be used for migrations of data between applications or databases, massive data load into databases, data cleansing and Enterprise Application Integration (EAI). ""Pentaho Business Analytics Suite"". Pentaho is an open-source provider of reporting, analysis, dashboard, data mining and workflow capabilities.",PDI is an easy-to-use ETL tool and can be used for small- and middle-sized data integration projects that do not require a lot of support by the Software manufacturer,"PDI has certain functional limitations and lacks a customer service comparable to commercial solutions, which makes it less usable for large-scale, complex data integration projects","""<a href=""""http://wiki.pentaho.com/display/EAI/Pentaho+Data+Integration+%28Kettle%29+Tutorial""""/> <a href=""""https://www.youtube.com/watch?v=IU9AEMYVG8A""""/>"""
HADOOP,Tool,DATA ENGINEERING,Business Intelligence,http://www.tutorialspoint.com/hadoop/hadoop_tutorial.pdf,Open Source,summary,"Hadoop is an open source framework designed to store and process big volumes of data. It distributes computational power amongst thousants of servers , which individually offers local computation and storage.",,,<href>https://www.google.ca/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&ved=0ahUKEwj1v-qt5KjMAhXpvoMKHb6BAl8QFghZMAQ&url=https%3A%2F%2Ftdwi.org%2F~%2Fmedia%2FC327040E2C5B4D22A90B03412AA511FE.pdfHadoop&usg=AFQjCNHuGBlB81TzqDLBdY6YiP1SjX9qeA&sig2=Do5B9Ko9lsiQ9CYl3dXq3w<br>https://books.google.ca/books?id=H3mvcxPeUfwC&pg=PA339&lpg=PA339&dq=subareas+of+hadoop+is+mapreduce&source=bl&ots=pYvIvf3Nq6&sig=S8i66i6ZY6K78YbwGwhwKy8qieY&hl=en&sa=X&ved=0ahUKEwistKPC36zMAhUD2WMKHcKhBo0Q6AEIUjAG#v=onepage&q=subareas%20of%20hadoop%20is%20mapreduce&f=false<\href>
AWS,Tool,DATA ENGINEERING,Business Intelligence,http://docs.aws.amazon.com/gettingstarted/latest/awsgsg-intro/awsgsg-intro.pdf,,summary,"AWS is a cloud computing platform created by Amazon. It provides multiple customized services, which is billed per usage.  Such as: CloudDrive, CloudSearch, DinamoDatabase, Elastic Compute Cloud, ElastiCache, Mechanical Turk, RedShift, a petabyte-scale data warehouse, Simple Storage Service (S3).",,,<href>https://d36cz9buwru1tt.cloudfront.net/AWS_Overview.pdf<br>https://www.youtube.com/user/AmazonWebServices<\href>
SPARK,Tool,DATA ENGINEERING,Business Intelligence,http://www.infoq.com/articles/apache-spark-introduction,Open Source,summary,"Apache Spark is big data processing framework. It was built in addition to Hadoop MapReduce , which improves the MapReduce model and efficiently use computations with Interactive Queries and Stream Processing.","Spark is used for iterative Machine Learning algorithms and analytics. Spark runs MR jobs but the advantage is that it first places the data into RDDs (Resilient Distributed Datasets) so the data is stored in memory and it is more quickly accessible.  The same MR jobs can be processed faster because the data is accessed in memory. It adds to that flexibility and speed with ability to write queries in Scala, Java (like Hadoop), and Python.  Also Spark’s allows applications to avoid costly disk accesses.",,<href>http://spark.apache.org/docs/latest/<br>http://blog.cloudera.com/blog/2013/11/putting-spark-to-use-fast-in-memory-computing-for-your-big-data-applications/<br>https://www.mapr.com/ebooks/spark/01-what-is-apache-spark.html<\href>
MapReduce,Tool,DATA ENGINEERING,Business Intelligence,http://www.tutorialspoint.com/hadoop/hadoop_mapreduce.html,Open Source,summary,MapReduce is a software framework of Hadoop which processes large scale of data sets in-parallel on large clasters.,,,<href>http://static.googleusercontent.com/media/research.google.com/en//archive/mapreduce-osdi04.pdf<br>http://homeostasis.scs.carleton.ca/~soma/distos/fall2008/mapreduce2008-cacm.pdf<br>http://userpages.uni-koblenz.de/~laemmel/MapReduce/paper.pdf<\href>
HADOOP,Tool,DATA ENGINEERING,Business Intelligence,http://hadoop.apache.org/,Open Source,summary,"“The Apache Hadoop software library is a framework that allows for the distributed processing of large data sets across clusters of computers using simple programming models. It is designed to scale up from single servers to thousands of machines, each offering local computation and storage. Rather than rely on hardware to deliver high-availability, the library itself is designed to detect and handle failures at the application layer, so delivering a highly-available service on top of a cluster of computers, each of which may be prone to failures.”",,,<href>http://www.ibm.com/developerworks/data/library/techarticle/dm-1209hadoopbigdata/<br>https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617<br>http://www.cloudera.com/training.html<br>https://hadoop.apache.org/docs/current/hadoop-mapreduce-client/hadoop-mapreduce-client-core/MapReduceTutorial.html<br>http://www.tutorialspoint.com/hadoop/hadoop_mapreduce.htm<br>http://ce.sysu.edu.cn/hope/UploadFiles/Education/2011/10/201110221516245419.pdf<br>http://ksat.me/map-reduce-a-really-simple-introduction-kloudo/<br>https://www.manning.com/books/hadoop-in-action<br>http://static.googleusercontent.com/external_content/untrusted_dlcp/research.google.com/en//archive/mapreduce-osdi04.pdf<br>https://www.youtube.com/watch?v=xWgdny19yQ4<br>http://insidebigdata.com/2015/05/18/hadoop-101-top-10-hadoop-learning-videos/<\href>
d3js,Tool,DATA VISUALIZATION,Visualization Programming,https://d3js.org/,Open Source,summary,"“D3.js is a JavaScript library for manipulating documents based on data. D3 helps you bring data to life using HTML, SVG, and CSS. D3’s emphasis on web standards gives you the full capabilities of modern browsers without tying yourself to a proprietary framework, combining powerful visualization components and a data-driven approach to DOM manipulation.”",,,<href>http://code.runnable.com/d3.js<br>https://vida.io/explore<br>http://bl.ocks.org/mbostock/4063269<br>https://github.com/mbostock/d3/wiki/Gallery<br>https://github.com/mbostock/d3/wiki/Tutorials<br>http://www.recursion.org/d3-for-mere-mortals/<br>https://bost.ocks.org/mike/<br>https://github.com/mbostock/d3/wiki<br>http://140.112.12.21/vie2015/getting_started_with_d3.pdf<br>http://www.spatialcapability.com/Library/FOSS4G/Data%20Visualization%20with%20D3.js%20Cookbook.pdf<br>https://www.youtube.com/watch?v=8jvoTV54nXw<br>https://www.youtube.com/watch?v=n5NcCoa9dDU<\href>
MongoDB,Tool,MACHINE LEARNING,NoSQL / Relational DBMS,https://docs.mongodb.org/manual/,Open Source,summary,MongoDB is one of the most popular NoSQL database which can be used to store and retrieve huge amounts of data. The data is stored in objects called documents. It is a schemaless database which is very flexible to store both structured and unstructured data.,,,<href>https://support.sas.com/documentation/cdl/en/statug/63033/HTML/default/viewer.htm#intromod_toc.htm<\href>
